Pos.,Giocatore,Nazione,Ruolo,Squadra,Età,Nato,PG,Tit,Min,90 min,Reti,Assist,R - Rig,Rigori,Rig T,Amm.,Esp.,Reti,Assist,R + A,R - Rig,R + A - Rig,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Partite
1,Francesco Acerbi\b96b595c,it ITA,Dif,Lazio,31,1988,36,36,3.162,35.1,2,2,2,0,0,4,0,006,006,011,006,011,2.0,2.0,1.6,36,006,005,010,006,010,Partite
2,Bobby Adekanye\3ed84b2c,nl NED,Att,Lazio,20,1999,11,0,188,2.1,1,0,1,0,0,1,0,048,000,048,048,048,1.7,1.7,0.1,18,082,006,088,082,088,Partite
3,Claud Adjapong\ce5b170a,it ITA,Dif,Hellas Verona,21,1998,5,2,231,2.6,0,0,0,0,0,0,0,000,000,000,000,000,0.6,0.6,0.0,06,022,000,022,022,022,Partite
4,Lucien Agoume\8bc8829a,fr FRA,Cen,Inter,17,2002,3,0,68,0.8,0,0,0,0,0,1,0,000,000,000,000,000,0.0,0.0,0.1,01,000,008,008,000,008,Partite
5,Kevin Agudelo\46fa7204,co COL,CenAtt,Fiorentina,20,1998,3,1,64,0.7,0,0,0,0,0,0,0,000,000,000,000,000,0.3,0.3,0.2,05,045,030,075,045,075,Partite
6,Kevin Agudelo\46fa7204,co COL,CenAtt,Genoa,20,1998,10,7,666,7.4,1,1,1,0,0,5,1,014,014,027,014,027,1.1,1.1,1.2,23,015,016,031,015,031,Partite
7,Emmanuel Agyemang-Badu\fe0b8f0e,gh GHA,CenAtt,Hellas Verona,28,1990,10,2,230,2.6,0,0,0,0,0,2,0,000,000,000,000,000,0.0,0.0,0.0,00,000,001,001,000,001,Partite
8,Ola Aina\246d153b,ng NGA,Dif,Torino,22,1996,32,20,2.079,23.1,0,2,0,0,0,8,0,000,009,009,000,009,0.4,0.4,2.2,26,002,010,011,002,011,Partite
9,Luis Alberto\5294a83f,es ESP,Cen,Lazio,26,1992,36,36,3.113,34.6,6,15,5,1,1,5,0,017,043,061,014,058,7.2,6.4,10.7,171,021,031,052,018,049,Partite
10,Enrico Alfonso\95adf1e1,it ITA,Por,Brescia,31,1988,4,4,279,3.1,0,0,0,0,0,0,0,000,000,000,000,000,0.0,0.0,0.0,00,000,000,000,000,000,Partite
11,Allan\cc700722,br BRA,Cen,Napoli,28,1991,23,16,1.280,14.2,2,1,2,0,0,3,0,014,007,021,014,021,0.7,0.7,1.1,18,005,008,012,005,012,Partite
12,Bruno Alves\585a73a8,pt POR,Dif,Parma,37,1981,33,31,2.671,29.7,0,0,0,0,0,4,0,000,000,000,000,000,1.0,1.0,0.5,15,003,002,005,003,005,Partite
13,Sofyan Amrabat\5a2cb25d,ma MAR,Cen,Hellas Verona,22,1996,34,33,2.919,32.4,1,1,0,1,1,10,2,003,003,006,000,003,1.9,1.1,1.6,28,006,005,011,004,009,Partite
14,Djavan Anderson\ca241ad3,nl NED,DifCen,Lazio,24,1995,6,2,167,1.9,0,0,0,0,0,1,0,000,000,000,000,000,0.1,0.1,0.0,01,005,000,005,005,005,Partite
15,Lorenzo Andrenacci\fe471a89,it ITA,Por,Brescia,24,1995,6,5,531,5.9,0,0,0,0,0,0,0,000,000,000,000,000,0.0,0.0,0.0,00,000,000,000,000,000,Partite
16,Peter Ankersen\df525574,dk DEN,Dif,Genoa,28,1990,19,11,1.063,11.8,0,1,0,0,0,2,0,000,008,008,000,008,0.8,0.8,0.7,16,007,006,013,007,013,Partite
17,Cristian Ansaldi\bbafc0c4,ar ARG,DifCen,Torino,32,1986,27,21,1.768,19.6,4,4,4,0,0,9,0,020,020,041,020,041,1.4,1.4,3.0,44,007,015,022,007,022,Partite
18,Mirko Antonucci\91976866,it ITA,AttCen,Roma,20,1999,2,0,82,0.9,0,0,0,0,0,1,0,000,000,000,000,000,0.2,0.2,0.0,02,021,000,021,021,021,Partite
19,Guilherme Arana\2b15a82a,br BRA,Dif,Atalanta,22,1997,4,0,80,0.9,0,0,0,0,0,0,0,000,000,000,000,000,0.0,0.0,0.0,01,003,003,006,003,006,Partite
20,Nicolò Armini\2f7407fa,it ITA,Dif,Lazio,18,2001,1,0,3,0.0,0,0,0,0,0,0,0,000,000,000,000,000,0.0,0.0,0.0,00,000,000,000,000,000,Partite
21,Kwadwo Asamoah\089550f5,gh GHA,Dif,Inter,30,1988,8,7,639,7.1,0,1,0,0,0,1,0,000,014,014,000,014,0.1,0.1,0.7,08,001,010,011,001,011,Partite
22,Kristoffer Askildsen\a69cc629,no NOR,Cen,Sampdoria,18,2001,4,0,76,0.8,1,0,1,0,0,2,1,118,000,118,118,118,0.0,0.0,0.1,01,005,012,016,005,016,Partite
