,Pos.,Giocatore,Price,Overall
0,1,Francesco Acerbi\b96b595c,15.0,normal
1,2,Bobby Adekanye\3ed84b2c,3.0,bad
2,3,Claud Adjapong\ce5b170a,10.0,normal
3,4,Lucien Agoume\8bc8829a,5.0,bad
4,5,Kevin Agudelo\46fa7204,7.0,bad
5,6,Kevin Agudelo\46fa7204,5.0,bad
6,7,Emmanuel Agyemang-Badu\fe0b8f0e,8.0,Normal
7,8,Ola Aina\246d153b,3.0,bad
8,9,Luis Alberto\5294a83f,34.0,top
9,10,Enrico Alfonso\95adf1e1,3.0,bad
10,11,Allan\cc700722,29.0,top
11,12,Bruno Alves\585a73a8,8.0,normal
12,13,Sofyan Amrabat\5a2cb25d,9.0,bad
13,14,Djavan Anderson\ca241ad3,2.0,bad
14,15,Lorenzo Andrenacci\fe471a89,1.0,bad
15,16,Peter Ankersen\df525574,1.0,bad
16,17,Cristian Ansaldi\bbafc0c4,1.0,bad
17,18,Mirko Antonucci\91976866,1.0,bad
18,19,Guilherme Arana\2b15a82a,1.0,bad
19,20,Nicolò Armini\2f7407fa,2.0,bad
20,21,Kwadwo Asamoah\089550f5,8.0,top
21,22,Kristoffer Askildsen\a69cc629,3.0,bad
22,23,Emil Audero\649b01d8,5.0,normal
23,24,Tommaso Augello\3cd3b384,3.0,bad
24,25,Florian Ayé\718b8afd,1.0,bad
25,26,Khouma Babacar\422ec08a,8.0,normal
26,27,Milan Badelj\e8c930bb,10.0,normal
27,28,Marco Ballarini\8cb494c9,3.0,bad
28,29,Mario Balotelli\8ff07990,7.0,bad
29,30,Mattia Bani\0821331c,4.0,bad
30,31,Antonín Barák\01efac19,4.0,bad
31,32,Antonín Barák\01efac19,4.0,bad
32,33,Nicolò Barella\6928979a,39.0,top
33,34,Antonino Barillà\a64cbd35,3.0,bad
34,35,Antonio Barreca\6a189491,1.0,bad
35,36,Édgar Barreto\43a1bea5,6.0,bad
36,37,Musa Barrow\e5bf73f3,13.0,normal
37,38,Musa Barrow\e5bf73f3,13.0,normal
38,39,Daniele Baselli\ea06dd97,14.0,normal
39,40,Alessandro Bastoni\75b86fb3,30.0,top
40,41,Bastos\c01c66d9,5.0,normal
41,42,Rodrigo Becão\19e4eab9,9.0,bad
42,43,Asmir Begović\7b4de647,7.0,normal
43,44,Valon Behrami\d3d758d8,12.0,normal
44,45,Raoul Bellanova\e3756e72,3.0,bad
45,46,Andrea Belotti\d705ba44,40.0,top
46,47,Marco Benassi\0000acda,15.0,normal
47,48,Ismaël Bennacer\db092d3b,31.0,top
48,49,Rodrigo Bentancur\3b8674e6,29.0,normal
49,50,Romario Benzar\2e3596d1,2.0,normal
50,51,Domenico Berardi\53a0e358,35.0,top
51,52,Álex Berenguer\dc1c2fce,9.0,normal
52,53,Bartosz Bereszyński\61b3978f,1.0,bad
53,54,Etrit Berisha\ee833569,8.0,Normal
54,55,Valon Berisha\d5575935,1.0,bad
55,56,Federico Bernardeschi\ee93c1a9,32.0,top
56,57,Andrea Bertolacci\c75b6a02,28.0,normal
57,58,Lucas Biglia\5710a281,15.0,top
58,59,Cristiano Biraghi\9e1577aa,25.0,top
59,60,Davide Biraschi\64cd167d,6.0,bad
60,61,Valter Birsa\455a2b79,6.0,bad
61,62,Dimitri Bisoli\16569fef,4.0,bad
